symbol_group_name,vmsize,filesize
_LogGLError,40,40
_LogInternal.cold.1,40,40
_ResourceProviderArchive,40,40
_ResourceProviderFile,40,40
_ResourceProviderZip,40,40
_ResourceTypeFont,40,40
_ResourceTypeGuiScript,40,40
_ResourceTypeLight,40,40
_ResourceTypeOgg,40,40
_ResourceTypeOpus,40,40
_ResourceTypeTTF,40,40
_ResourceTypeWav,40,40
_dmHashClone64.cold.7,40,40
_dmHashReverseSafe64,40,40
_dmHashString32,40,40
_dmHashString64,40,40
_dmHashUpdateBuffer64.cold.4,40,40
_hookf.hooknames,40,40
b2Log(),40,40
btAlignedFreeInternal(),40,40
dmFixedMemAlloc(),40,40
dLib,40,40
-[AppDelegate applicationWillResignActive:],36,36
-[BaseView setSwapInterval:],36,36
_ComponentTypeGui,36,36
_ComponentTypeLight,36,36
_ComponentTypeMesh,36,36
_ComponentTypeSound,36,36
_JobSystemUpdate.cold.1,36,36
_ResourceTypeAnim,36,36
_ResourceTypeAnimationSet,36,36
_ResourceTypeCollection,36,36
_ResourceTypeGameObject,36,36
_ResourceTypeGui,36,36
_ResourceTypeLua,36,36
_ResourceTypeScript,36,36
__ilog,36,36
_dmHashFinal64.cold.12,36,36
-[AppDelegate applicationDidBecomeActive:],32,32
_ComponentTypeAnim,32,32
_ComponentTypeScript,32,32
_22-[AppDelegate reinit:]_* (library),32,32
__glfwClearWindowHints,32,32
_inc32table,32,32
dmFixedMemAllocatorInit(),32,32
dmMemAlloc(),32,32
+[BaseView layerClass],28,28
-[EAGLView setCurrentContext],28,28
-[IndexedRange isEmpty],28,28
FreeGlyphTTF(),28,28
ResourceTypeReset(),28,28
TextLayoutGetGlyphCount(),28,28
_glfwGetJoystickParam,28,28
dmRecord,28,28
GBGetResourceSize(),24,24
__glfwPlatformCloseWindow,24,24
__glfwPlatformQueryAuxContext,24,24
__glfwPlatformQueryAuxContextOpenGL,24,24
__glfwPlatformTerminate,24,24
__glfwPlatformUnacquireAuxContext,24,24
__glfwSetMarkedText,24,24
(anonymous namespace),24,0
dmGamesysDDF,24,24
-[AppDelegate appUpdate].cold.1,20,20
-[BaseView caretRectForPosition:],20,20
-[BaseView firstRectForRange:],20,20
-[IndexedRange range],20,20
-[IndexedRange setRange:],20,20
ResourceChunkCacheCanFit(),20,20
TextLayoutGetBounds(),20,20
___isPlatformVersionAtLeast.cold.1,20,20
___isPlatformVersionAtLeast.cold.2,20,20
__glfwPlatformSwapInterval,20,20
stbi__compute_huffman_codes(),20,20
-[BaseView autoCloseKeyboard],16,16
-[BaseView getWindowHeight],16,16
-[BaseView getWindowWidth],16,16
-[BaseView inputDelegate],16,16
-[BaseView isSecureTextEntry],16,16
-[BaseView keyboardActive],16,16
-[BaseView keyboardType],16,16
